home_team,away_team,sport_title,commence_time,bookmaker_titles
Kansas City Chiefs,Baltimore Ravens,NFL,2024-09-06T00:20:00Z,"['DraftKings', 'FanDuel', 'Caesars', 'BetOnline.ag', 'LowVig.ag', 'BetRivers', 'BetMGM', 'MyBookie.ag', 'BetUS', 'Bovada']"
Philadelphia Eagles,Green Bay Packers,NFL,2024-09-07T00:20:00Z,"['DraftKings', 'BetOnline.ag', 'LowVig.ag', 'FanDuel', 'BetMGM', 'Caesars', 'BetRivers', 'MyBookie.ag', 'BetUS', 'Bovada']"
Buffalo Bills,Arizona Cardinals,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetRivers', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
Atlanta Falcons,Pittsburgh Steelers,NFL,2024-09-08T17:00:00Z,"['DraftKings', 'FanDuel', 'BetRivers', 'Caesars', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM']"
New Orleans Saints,Carolina Panthers,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetRivers', 'MyBookie.ag', 'LowVig.ag', 'BetOnline.ag', 'BetUS', 'BetMGM', 'Bovada']"
Chicago Bears,Tennessee Titans,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'DraftKings', 'BetRivers', 'Caesars', 'MyBookie.ag', 'BetUS', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
Cincinnati Bengals,New England Patriots,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetRivers', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetUS', 'BetMGM', 'Bovada']"
Indianapolis Colts,Houston Texans,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetRivers', 'MyBookie.ag', 'LowVig.ag', 'BetOnline.ag', 'BetUS', 'BetMGM', 'Bovada']"
Miami Dolphins,Jacksonville Jaguars,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetRivers', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
New York Giants,Minnesota Vikings,NFL,2024-09-08T17:00:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetRivers', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
Seattle Seahawks,Denver Broncos,NFL,2024-09-08T20:05:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetRivers', 'MyBookie.ag', 'LowVig.ag', 'BetOnline.ag', 'BetMGM', 'BetUS', 'Bovada']"
Los Angeles Chargers,Las Vegas Raiders,NFL,2024-09-08T20:05:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetRivers', 'MyBookie.ag', 'BetUS', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
Cleveland Browns,Dallas Cowboys,NFL,2024-09-08T20:25:00Z,"['FanDuel', 'Caesars', 'BetOnline.ag', 'LowVig.ag', 'DraftKings', 'BetRivers', 'BetUS', 'MyBookie.ag', 'BetMGM', 'Bovada']"
Tampa Bay Buccaneers,Washington Commanders,NFL,2024-09-08T20:25:00Z,"['FanDuel', 'BetRivers', 'Caesars', 'DraftKings', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
Detroit Lions,Los Angeles Rams,NFL,2024-09-09T00:20:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetRivers', 'BetUS', 'MyBookie.ag', 'BetOnline.ag', 'LowVig.ag', 'BetMGM', 'Bovada']"
San Francisco 49ers,New York Jets,NFL,2024-09-10T00:20:00Z,"['DraftKings', 'FanDuel', 'BetRivers', 'BetOnline.ag', 'LowVig.ag', 'Caesars', 'BetMGM', 'MyBookie.ag', 'BetUS', 'Bovada']"
